state,key_year,year,month,sa_no
Uttar_Pradesh,1980,1980,5,8
Uttar_Pradesh,1985,1985,2,9
Uttar_Pradesh,1989,1989,11,10
Uttar_Pradesh,1991,1991,5,11
Uttar_Pradesh,1993,1993,11,12
Uttar_Pradesh,1996,1996,7,13
Uttar_Pradesh,2002,2002,2,14
Uttar_Pradesh,2007,2007,5,15
Uttar_Pradesh,2012,2012,3,16
Uttar_Pradesh,2017,2017,3,17
Mysore,1962,1962,2,2
Mysore,1967,1967,2,3
Mysore,1972,1972,2,4
Bihar,1962,1962,2,3
Bihar,1967,1967,2,4
Bihar,1969,1969,2,5
Bihar,1972,1972,3,6
Bihar,1977,1977,10,7
Bihar,1980,1980,6,8
Bihar,1985,1985,2,9
Bihar,1990,1990,2,10
Bihar,1995,1995,3,11
Bihar,2000,2000,2,12
Bihar,2005,2005,2,13
Bihar,2005.5,2005,11,14
Bihar,2010,2010,11,15
Bihar,2015,2015,11,16
Tripura,1967,1967,2,1
Tripura,1972,1972,3,2
Tripura,1977,1977,12,3
Tripura,1983,1983,5,4
Tripura,1988,1988,2,5
Tripura,1993,1993,2,6
Tripura,1998,1998,3,7
Tripura,2003,2003,3,8
Tripura,2008,2008,3,9
Tripura,2013,2013,2,10
Delhi,1972,1972,3,2
Delhi,1977,1977,10,3
Delhi,1983,1983,5,4
Delhi,1993,1993,6,5
Delhi,1998,1998,11,6
Delhi,2003,2003,12,7
Delhi,2008,2008,12,8
Delhi,2013,2013,12,9
Delhi,2015,2015,2,10
Rajasthan,1962,1962,2,3
Rajasthan,1967,1967,2,4
Rajasthan,1972,1972,3,5
Rajasthan,1977,1977,10,6
Rajasthan,1980,1980,5,7
Rajasthan,1985,1985,5,8
Rajasthan,1990,1990,2,9
Rajasthan,1993,1993,11,10
Rajasthan,1998,1998,11,11
Rajasthan,2003,2003,12,12
Rajasthan,2008,2008,12,13
Rajasthan,2013,2013,12,14
Kerala,1965,1965,3,3
Kerala,1967,1967,2,4
Kerala,1970,1970,9,5
Kerala,1977,1977,3,6
Kerala,1980,1980,1,7
Kerala,1982,1982,5,8
Kerala,1987,1987,3,9
Kerala,1991,1991,5,10
Kerala,1996,1996,6,11
Kerala,2001,2001,5,12
Kerala,2006,2006,5,13
Kerala,2011,2011,5,14
Kerala,2016,2016,5,15
Uttarakhand,2002,2002,2,1
Uttarakhand,2007,2007,2,2
Uttarakhand,2012,2012,3,3
Uttarakhand,2017,2017,3,4
Jammu_&_Kashmir,1962,1962,2,1
Jammu_&_Kashmir,1967,1967,2,2
Jammu_&_Kashmir,1972,1972,3,3
Jammu_&_Kashmir,1977,1977,7,4
Jammu_&_Kashmir,1983,1983,5,5
Jammu_&_Kashmir,1987,1987,3,6
Jammu_&_Kashmir,1996,1996,7,7
Jammu_&_Kashmir,2002,2002,10,8
Jammu_&_Kashmir,2008,2008,12,9
Jammu_&_Kashmir,2014,2014,12,10
Arunachal_Pradesh,1978,1978,2,1
Arunachal_Pradesh,1980,1980,3,2
Arunachal_Pradesh,1984,1984,12,3
Arunachal_Pradesh,1990,1990,3,4
Arunachal_Pradesh,1995,1995,3,5
Arunachal_Pradesh,1999,1999,10,6
Arunachal_Pradesh,2004,2004,10,7
Arunachal_Pradesh,2009,2009,9,8
Arunachal_Pradesh,2014,2014,5,9
Tamil_Nadu,1971,1971,3,1
Tamil_Nadu,1977,1977,10,2
Tamil_Nadu,1980,1980,6,3
Tamil_Nadu,1984,1984,12,4
Tamil_Nadu,1989,1989,1,5
Tamil_Nadu,1991,1991,2,6
Tamil_Nadu,1996,1996,2,7
Tamil_Nadu,2001,2001,5,8
Tamil_Nadu,2006,2006,5,9
Tamil_Nadu,2011,2011,5,10
Tamil_Nadu,2016,2016,5,11
Mizoram,1972,1972,4,1
Mizoram,1978,1978,5,2
Mizoram,1979,1979,4,3
Mizoram,1984,1984,4,4
Mizoram,1987,1987,2,5
Mizoram,1989,1989,11,6
Mizoram,1993,1993,12,7
Mizoram,1998,1998,11,8
Mizoram,2003,2003,12,9
Mizoram,2008,2008,12,10
Mizoram,2013,2013,12,11
Gujarat,2017,2017,12,13
Himachal_Pradesh,2017,2017,12,13
Meghalaya,2018,2018,3,10
Tripura,2018,2018,3,11
Nagaland,2018,2018,3,13
Karnataka,2018,2018,5,10
Mizoram,2018,2018,12,12
Telangana,2018,2018,12,2
Madhya_Pradesh,2018,2018,12,15
Rajasthan,2018,2018,12,15
Chhattisgarh,2018,2018,12,4
Telangana,2014,2014,5,1
